№,Эмодзи,Unicode_Код,Десятичный_Код
516,🎵,U+1F3B5,127925
517,🎶,U+1F3B6,127926
518,🎷,U+1F3B7,127927
519,🎸,U+1F3B8,127928
520,🎹,U+1F3B9,127929
521,🎺,U+1F3BA,127930
522,🎻,U+1F3BB,127931
523,🎼,U+1F3BC,127932
524,🎽,U+1F3BD,127933
525,🎾,U+1F3BE,127934
526,🎿,U+1F3BF,127935
527,🏀,U+1F3C0,127936
528,🏁,U+1F3C1,127937
529,🏂,U+1F3C2,127938
530,🏃,U+1F3C3,127939
531,🏄,U+1F3C4,127940
532,🏅,U+1F3C5,127941
533,🏆,U+1F3C6,127942
534,🏇,U+1F3C7,127943
535,🏈,U+1F3C8,127944
536,🏉,U+1F3C9,127945
537,🏊,U+1F3CA,127946
538,🏋,U+1F3CB,127947
539,🏌,U+1F3CC,127948
540,🏍,U+1F3CD,127949
541,🏎,U+1F3CE,127950
542,🏏,U+1F3CF,127951
543,🏐,U+1F3D0,127952
544,🏑,U+1F3D1,127953
545,🏒,U+1F3D2,127954
546,🏓,U+1F3D3,127955
547,🏔,U+1F3D4,127956
548,🏕,U+1F3D5,127957
549,🏖,U+1F3D6,127958
550,🏗,U+1F3D7,127959
551,🏘,U+1F3D8,127960
552,🏙,U+1F3D9,127961
553,🏚,U+1F3DA,127962
554,🏛,U+1F3DB,127963
555,🏜,U+1F3DC,127964
556,🏝,U+1F3DD,127965
557,🏞,U+1F3DE,127966
558,🏟,U+1F3DF,127967
559,🏠,U+1F3E0,127968
560,🏡,U+1F3E1,127969
561,🏢,U+1F3E2,127970
562,🏣,U+1F3E3,127971
563,🏤,U+1F3E4,127972
564,🏥,U+1F3E5,127973
565,🏦,U+1F3E6,127974
566,🏧,U+1F3E7,127975
567,🏨,U+1F3E8,127976
568,🏩,U+1F3E9,127977
569,🏪,U+1F3EA,127978
570,🏫,U+1F3EB,127979
571,🏬,U+1F3EC,127980
572,🏭,U+1F3ED,127981
573,🏮,U+1F3EE,127982
574,🏯,U+1F3EF,127983
575,🏰,U+1F3F0,127984
576,🏱,U+1F3F1,127985
577,🏲,U+1F3F2,127986
578,🏳,U+1F3F3,127987
579,🏴,U+1F3F4,127988
580,🏵,U+1F3F5,127989
581,🏶,U+1F3F6,127990
582,🏷,U+1F3F7,127991
583,🏸,U+1F3F8,127992
584,🏹,U+1F3F9,127993
585,🏺,U+1F3FA,127994
586,🏻,U+1F3FB,127995
587,🏼,U+1F3FC,127996
588,🏽,U+1F3FD,127997
589,🏾,U+1F3FE,127998
590,🏿,U+1F3FF,127999
591,🐀,U+1F400,128000
592,🐁,U+1F401,128001
593,🐂,U+1F402,128002
594,🐃,U+1F403,128003
595,🐄,U+1F404,128004
596,🐅,U+1F405,128005
597,🐆,U+1F406,128006
598,🐇,U+1F407,128007
599,🐈,U+1F408,128008
600,🐉,U+1F409,128009
601,🐊,U+1F40A,128010
602,🐋,U+1F40B,128011
603,🐌,U+1F40C,128012
604,🐍,U+1F40D,128013
605,🐎,U+1F40E,128014
606,🐏,U+1F40F,128015
607,🐐,U+1F410,128016
608,🐑,U+1F411,128017
609,🐒,U+1F412,128018
610,🐓,U+1F413,128019
611,🐔,U+1F414,128020
612,🐕,U+1F415,128021
613,🐖,U+1F416,128022
614,🐗,U+1F417,128023
615,🐘,U+1F418,128024
616,🐙,U+1F419,128025
617,🐚,U+1F41A,128026
618,🐛,U+1F41B,128027
619,🐜,U+1F41C,128028
620,🐝,U+1F41D,128029
621,🐞,U+1F41E,128030
622,🐟,U+1F41F,128031
623,🐠,U+1F420,128032
624,🐡,U+1F421,128033
625,🐢,U+1F422,128034
626,🐣,U+1F423,128035
627,🐤,U+1F424,128036
628,🐥,U+1F425,128037
629,🐦,U+1F426,128038
630,🐧,U+1F427,128039
631,🐨,U+1F428,128040
632,🐩,U+1F429,128041
633,🐪,U+1F42A,128042
634,🐫,U+1F42B,128043
635,🐬,U+1F42C,128044
636,🐭,U+1F42D,128045
637,🐮,U+1F42E,128046
638,🐯,U+1F42F,128047
639,🐰,U+1F430,128048
640,🐱,U+1F431,128049
641,🐲,U+1F432,128050
642,🐳,U+1F433,128051
643,🐴,U+1F434,128052
644,🐵,U+1F435,128053
645,🐶,U+1F436,128054
646,🐷,U+1F437,128055
647,🐸,U+1F438,128056
648,🐹,U+1F439,128057
649,🐺,U+1F43A,128058
650,🐻,U+1F43B,128059
651,🐼,U+1F43C,128060
652,🐽,U+1F43D,128061
653,🐾,U+1F43E,128062
654,🐿,U+1F43F,128063
655,👀,U+1F440,128064
656,👁,U+1F441,128065
657,👂,U+1F442,128066
658,👃,U+1F443,128067
659,👄,U+1F444,128068
660,👅,U+1F445,128069
661,👆,U+1F446,128070
662,👇,U+1F447,128071
663,👈,U+1F448,128072
664,👉,U+1F449,128073
665,👊,U+1F44A,128074
666,👋,U+1F44B,128075
667,👌,U+1F44C,128076
668,👍,U+1F44D,128077
669,👎,U+1F44E,128078
670,👏,U+1F44F,128079
671,👐,U+1F450,128080
672,👑,U+1F451,128081
673,👒,U+1F452,128082
674,👓,U+1F453,128083
675,👔,U+1F454,128084
676,👕,U+1F455,128085
677,👖,U+1F456,128086
678,👗,U+1F457,128087
679,👘,U+1F458,128088
680,👙,U+1F459,128089
681,👚,U+1F45A,128090
682,👛,U+1F45B,128091
683,👜,U+1F45C,128092
684,👝,U+1F45D,128093
685,👞,U+1F45E,128094
686,👟,U+1F45F,128095
687,👠,U+1F460,128096
688,👡,U+1F461,128097
689,👢,U+1F462,128098
690,👣,U+1F463,128099
691,👤,U+1F464,128100
692,👥,U+1F465,128101
693,👦,U+1F466,128102
694,👧,U+1F467,128103
695,👨,U+1F468,128104
696,👩,U+1F469,128105
697,👪,U+1F46A,128106
698,👫,U+1F46B,128107
699,👬,U+1F46C,128108
700,👭,U+1F46D,128109
701,👮,U+1F46E,128110
702,👯,U+1F46F,128111
703,👰,U+1F470,128112
704,👱,U+1F471,128113
705,👲,U+1F472,128114
706,👳,U+1F473,128115
707,👴,U+1F474,128116
708,👵,U+1F475,128117
709,👶,U+1F476,128118
710,👷,U+1F477,128119
711,👸,U+1F478,128120
712,👹,U+1F479,128121
713,👺,U+1F47A,128122
714,👻,U+1F47B,128123
715,👼,U+1F47C,128124
716,👽,U+1F47D,128125
717,👾,U+1F47E,128126
718,👿,U+1F47F,128127
719,💀,U+1F480,128128
720,💁,U+1F481,128129
721,💂,U+1F482,128130
722,💃,U+1F483,128131
723,💄,U+1F484,128132
724,💅,U+1F485,128133
725,💆,U+1F486,128134
726,💇,U+1F487,128135
727,💈,U+1F488,128136
728,💉,U+1F489,128137
729,💊,U+1F48A,128138
730,💋,U+1F48B,128139
731,💌,U+1F48C,128140
732,💍,U+1F48D,128141
733,💎,U+1F48E,128142
734,💏,U+1F48F,128143
735,💐,U+1F490,128144
736,💑,U+1F491,128145
737,💒,U+1F492,128146
738,💓,U+1F493,128147
739,💔,U+1F494,128148
740,💕,U+1F495,128149
741,💖,U+1F496,128150
742,💗,U+1F497,128151
743,💘,U+1F498,128152
744,💙,U+1F499,128153
745,💚,U+1F49A,128154
746,💛,U+1F49B,128155
747,💜,U+1F49C,128156
748,💝,U+1F49D,128157
749,💞,U+1F49E,128158
750,💟,U+1F49F,128159
751,💠,U+1F4A0,128160
752,💡,U+1F4A1,128161
753,💢,U+1F4A2,128162
754,💣,U+1F4A3,128163
755,💤,U+1F4A4,128164
756,💥,U+1F4A5,128165
757,💦,U+1F4A6,128166
758,💧,U+1F4A7,128167
759,💨,U+1F4A8,128168
760,💩,U+1F4A9,128169
761,💪,U+1F4AA,128170
762,💫,U+1F4AB,128171
763,💬,U+1F4AC,128172
764,💭,U+1F4AD,128173
765,💮,U+1F4AE,128174
766,💯,U+1F4AF,128175
767,💰,U+1F4B0,128176
768,💱,U+1F4B1,128177
769,💲,U+1F4B2,128178
770,💳,U+1F4B3,128179
771,💴,U+1F4B4,128180
772,💵,U+1F4B5,128181
773,💶,U+1F4B6,128182
774,💷,U+1F4B7,128183
775,💸,U+1F4B8,128184
776,💹,U+1F4B9,128185
777,💺,U+1F4BA,128186
778,💻,U+1F4BB,128187
779,💼,U+1F4BC,128188
780,💽,U+1F4BD,128189
781,💾,U+1F4BE,128190
782,💿,U+1F4BF,128191
783,📀,U+1F4C0,128192
784,📁,U+1F4C1,128193
785,📂,U+1F4C2,128194
786,📃,U+1F4C3,128195
787,📄,U+1F4C4,128196
788,📅,U+1F4C5,128197
789,📆,U+1F4C6,128198
790,📇,U+1F4C7,128199
791,📈,U+1F4C8,128200
792,📉,U+1F4C9,128201
793,📊,U+1F4CA,128202
794,📋,U+1F4CB,128203
795,📌,U+1F4CC,128204
796,📍,U+1F4CD,128205
797,📎,U+1F4CE,128206
798,📏,U+1F4CF,128207
799,📐,U+1F4D0,128208
800,📑,U+1F4D1,128209
801,📒,U+1F4D2,128210
802,📓,U+1F4D3,128211
803,📔,U+1F4D4,128212
804,📕,U+1F4D5,128213
805,📖,U+1F4D6,128214
806,📗,U+1F4D7,128215
807,📘,U+1F4D8,128216
808,📙,U+1F4D9,128217
809,📚,U+1F4DA,128218
810,📛,U+1F4DB,128219
811,📜,U+1F4DC,128220
812,📝,U+1F4DD,128221
813,📞,U+1F4DE,128222
814,📟,U+1F4DF,128223
815,📠,U+1F4E0,128224
816,📡,U+1F4E1,128225
817,📢,U+1F4E2,128226
818,📣,U+1F4E3,128227
819,📤,U+1F4E4,128228
820,📥,U+1F4E5,128229
821,📦,U+1F4E6,128230
822,📧,U+1F4E7,128231
823,📨,U+1F4E8,128232
824,📩,U+1F4E9,128233
825,📪,U+1F4EA,128234
826,📫,U+1F4EB,128235
827,📬,U+1F4EC,128236
828,📭,U+1F4ED,128237
829,📮,U+1F4EE,128238
830,📯,U+1F4EF,128239
831,📰,U+1F4F0,128240
832,📱,U+1F4F1,128241
833,📲,U+1F4F2,128242
834,📳,U+1F4F3,128243
835,📴,U+1F4F4,128244
836,📵,U+1F4F5,128245
837,📶,U+1F4F6,128246
838,📷,U+1F4F7,128247
839,📸,U+1F4F8,128248
840,📹,U+1F4F9,128249
841,📺,U+1F4FA,128250
842,📻,U+1F4FB,128251
843,📼,U+1F4FC,128252
844,📽,U+1F4FD,128253
845,📾,U+1F4FE,128254
846,📿,U+1F4FF,128255
847,🔀,U+1F500,128256
848,🔁,U+1F501,128257
849,🔂,U+1F502,128258
850,🔃,U+1F503,128259
851,🔄,U+1F504,128260
852,🔅,U+1F505,128261
853,🔆,U+1F506,128262
854,🔇,U+1F507,128263
855,🔈,U+1F508,128264
856,🔉,U+1F509,128265
857,🔊,U+1F50A,128266
858,🔋,U+1F50B,128267
859,🔌,U+1F50C,128268
860,🔍,U+1F50D,128269
861,🔎,U+1F50E,128270
862,🔏,U+1F50F,128271
863,🔐,U+1F510,128272
864,🔑,U+1F511,128273
865,🔒,U+1F512,128274
866,🔓,U+1F513,128275
867,🔔,U+1F514,128276
868,🔕,U+1F515,128277
869,🔖,U+1F516,128278
870,🔗,U+1F517,128279
871,🔘,U+1F518,128280
872,🔙,U+1F519,128281
873,🔚,U+1F51A,128282
874,🔛,U+1F51B,128283
875,🔜,U+1F51C,128284
876,🔝,U+1F51D,128285
877,🔞,U+1F51E,128286
878,🔟,U+1F51F,128287
879,🔠,U+1F520,128288
880,🔡,U+1F521,128289
881,🔢,U+1F522,128290
882,🔣,U+1F523,128291
883,🔤,U+1F524,128292
884,🔥,U+1F525,128293
885,🔦,U+1F526,128294
886,🔧,U+1F527,128295
887,🔨,U+1F528,128296
888,🔩,U+1F529,128297
